ts_epoch,Hex,Flight,Lat,Lon,Alt,Track,Speed,Squawk,Messages,Groundspeed,Rate_of_climb,af_category,ts_iso8601
1693090064,abb6bc,COL854  ,44.968112,-93.086957,7775,284.8,266.8,1037,2617,266.8,64,A2,2023-08-26T17:47:44-05:00
1693090064,a4ce25,,0,0,0,0,0,,937,0,0,A2,2023-08-26T17:47:44-05:00
1693090064,ab2b2c,,0,0,0,0,0,,3674,0,0,A4,2023-08-26T17:47:44-05:00
1693090094,a6dfbf,,44.835764,-93.069406,4775,131.6,224.6,3630,42,224.6,0,,2023-08-26T17:48:14-05:00
1693090094,a9bb53,,45.093979,-93.331277,26075,99.3,500.6,,65,500.6,0,,2023-08-26T17:48:14-05:00
1693090094,ad2baa,JBU96   ,44.488531,-92.888065,35000,102.3,520,3515,613,520,0,A3,2023-08-26T17:48:14-05:00
1693090094,a6ff6c,N550AA  ,44.807646,-92.568858,45000,120.9,533.7,2435,894,533.7,64,A3,2023-08-26T17:48:14-05:00
1693090094,ade191,DAL2992 ,44.860153,-92.307848,22075,275.1,362.4,3311,154,362.4,-4224,A3,2023-08-26T17:48:14-05:00
1693090094,ac0b96,SWA2509 ,44.650085,-92.997567,10575,167.2,361,,181,361,1024,A3,2023-08-26T17:48:14-05:00
1693090094,aaeb1b,GAJ802  ,44.933395,-92.993055,7775,259.3,268.7,3170,1609,268.7,0,A1,2023-08-26T17:48:14-05:00
1693090094,abb839,,0,0,1900,0,0,,379,0,0,,2023-08-26T17:48:14-05:00
1693090094,a44308,DAL1717 ,44.866954,-92.643619,13650,268.8,347.1,2441,1602,347.1,-2048,A3,2023-08-26T17:48:14-05:00
1693090094,c058bf,ACA740  ,44.51744,-91.880739,41000,90.1,548,3275,1096,548,0,A5,2023-08-26T17:48:14-05:00
1693090094,a65a7a,,45.206925,-92.760717,3200,16,134.2,,1204,134.2,0,A1,2023-08-26T17:48:14-05:00
1693090094,ad6b0c,,0,0,0,0,0,,424,0,0,A3,2023-08-26T17:48:14-05:00
1693090094,a59d63,ASA281  ,44.539169,-93.114493,34000,307.2,408.2,1375,1552,408.2,0,A3,2023-08-26T17:48:14-05:00
1693090094,abb6bc,COL854  ,44.978027,-93.131954,7725,294.5,270.3,1037,2674,270.3,-1152,A2,2023-08-26T17:48:14-05:00
